location,avgTemp,avgRain,avgHumid
Katherine,34.94,3.2,42.76
Darwin,32.54,5.09,51.83
Uluru,30.38,0.78,24.13
Cairns,29.56,5.74,61.75
Townsville,29.37,3.49,57.4
AliceSprings,29.25,0.88,24.13
Moree,26.95,1.63,35.81
Woomera,26.6,0.49,28.4
Brisbane,26.45,3.14,53.91
PearceRAAF,26.05,1.67,42.08
Cobar,25.87,1.13,33.87
GoldCoast,25.77,3.77,62.98
PerthAirport,25.53,1.76,41.92
Perth,25.03,1.91,46.91
Mildura,24.84,0.95,35.4
Penrith,24.76,2.18,49.1
Richmond,24.46,2.14,49.0
SalmonGums,24.25,1.03,40.75
Newcastle,24.1,3.18,57.36
BadgerysCreek,24.03,2.19,51.38
Williamtown,24.0,3.59,53.94
CoffsHarbour,23.97,5.06,62.35
SydneyAirport,23.38,3.01,53.9
WaggaWagga,23.03,1.71,42.59
Sydney,23.0,3.32,54.69
Adelaide,22.9,1.57,44.83
Albury,22.64,1.91,47.87
NorahHead,22.59,3.39,67.52
Nhil,22.41,0.93,44.92
NorfolkIsland,21.83,3.13,67.84
Nuriootpa,21.7,1.39,45.43
Witchcliffe,21.69,2.9,57.78
Bendigo,21.62,1.62,46.47
Wollongong,21.47,3.59,65.13
Canberra,20.98,1.74,45.83
Watsonia,20.9,1.86,54.71
Tuggeranong,20.77,2.16,47.19
Melbourne,20.77,1.87,51.18
MelbourneAirport,20.49,1.45,51.17
Walpole,20.46,2.91,66.32
Sale,20.28,1.51,56.35
Albany,20.07,2.26,67.41
MountGambier,19.83,2.09,57.33
Dartmoor,19.7,2.15,62.46
Launceston,18.95,2.01,57.32
Ballarat,18.29,1.74,59.03
Portland,18.06,2.53,65.99
Hobart,17.87,1.6,52.94
MountGinini,11.66,3.29,69.72
