location,pctRainDays,pctHotDays
Adelaide,21.6,6.5
Albany,29.7,0.4
Albury,20.3,6.4
AliceSprings,8.0,27.8
BadgerysCreek,19.4,4.9
Ballarat,25.7,1.7
Bendigo,18.5,5.0
Brisbane,22.2,0.9
Cairns,31.2,0.8
Canberra,18.3,2.7
Cobar,12.8,15.0
CoffsHarbour,28.9,0.3
Dartmoor,30.6,3.2
Darwin,26.7,4.6
GoldCoast,25.5,0.2
Hobart,23.9,0.4
Katherine,16.8,48.2
Launceston,23.0,0.1
Melbourne,19.9,2.3
MelbourneAirport,21.7,3.3
Mildura,10.9,12.2
Moree,13.1,12.6
MountGambier,30.3,3.0
MountGinini,26.9,0.0
Newcastle,24.1,3.0
Nhil,15.3,7.4
NorahHead,26.9,0.8
NorfolkIsland,30.5,0.0
Nuriootpa,19.7,5.8
PearceRAAF,16.8,12.5
Penrith,19.6,6.3
Perth,20.2,7.9
PerthAirport,18.8,9.8
Portland,36.4,1.0
Richmond,18.6,5.8
Sale,21.4,1.9
SalmonGums,15.7,7.3
Sydney,25.9,1.1
SydneyAirport,25.7,2.1
Townsville,17.1,0.9
Tuggeranong,18.7,2.3
Uluru,7.4,34.7
WaggaWagga,17.8,7.1
Walpole,31.6,0.7
Watsonia,24.5,3.7
Williamtown,23.3,3.7
Witchcliffe,29.2,1.5
Wollongong,23.5,0.6
Woomera,6.7,17.4
